source_name,status,rows,warning,error_message,requested_period,actual_period,latest_available_period,source_url_or_name,is_real_data,is_mock,is_stale,data_age_days,coverage_ratio,affected_symbols_count,data_freshness_level,fallback_reason,fallback_action
monthly_revenue,OK,1078,,,,,,,False,False,False,,,,,,
valuation,OK,1077,,,,,,,False,False,False,,,,,,
financials,OK,1042,,,,,,,False,False,False,,,,,,
material_events,OK,351,,,,,,,False,False,False,,,,,,
institutional,OK,1320,,,,,,,False,False,False,,,,,,
margin_short,OK,1271,,,,,,,False,False,False,,,,,,
attention_disposition,OK,76,,,,,,,False,False,False,,,,,,
sector_strength,OK,1433,,,,,,,False,False,False,,,,,,
liquidity,OK,1433,,,,,,,False,False,False,,,,,,
market_intel,CACHE,20,市場事件資料不足，採中性處理；估值資料不足，採中性分數；資料來源缺失或快取資料，需人工確認。；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；資料來源缺失或快取資料，需人工確認。；市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；資料來源缺失或快取資料，需人工確認。；資料來源缺失或快取資料，需人工確認。,,2026-05-31,2026-05-29,2026-05-29,market_intel provider,True,False,True,2,,20,STALE,no trading data,cache
