signal_date,planned_entry_date,actual_entry_date,entry_price_source,trade_date,stock_id,stock_name,entry_price,entry_price_raw,slippage_rate,shares,original_shares,remaining_shares,position_value,entry_slippage,buy_slippage_cost,entry_commission,buy_commission,exit_price,exit_price_raw,exit_slippage,sell_slippage_cost,exit_commission,sell_commission,exit_tax,sell_tax,total_cost,realized_pnl_after_cost,realized_pnl_pct_after_cost,last_exit_realized_pnl_after_cost,partial_exit_1_done,partial_exit_2_done,highest_price_since_entry,highest_pnl_pct_since_entry,trailing_stop_price,stop_loss_price,suggested_position_pct,status,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,holding_days,stop_loss_hit,exit_date,realized_pnl,realized_pnl_pct,exit_reason
,,,,2026-05-08,3528,安馳,91.0,91.0,0.0,1098,1098.0,1098.0,99918.0,,0.0,0.0,0.0,82.4175,82.5,0.0825,0.0,128.95,128.95,271.48,271.48,491.01,-9824.01,-0.098321,0.0,False,False,91.0,0.0,,85.39,0.1,CLOSED,82.5,0.0,0.0,0.0,3.0,True,2026-05-11,-9824.01,-0.098321,STOP_LOSS
,,,,2026-05-08,3033,威健,43.85,43.85,0.001,2280,2280.0,0.0,0.0,,0.0,0.0,0.0,49.1508,49.2,0.0492,111.95,11.18,44.63,84.05,335.51,492.09,11477.91,0.114804,2926.23,True,True,53.9,0.22919,49.588,40.6,0.1,CLOSED,49.2,0.0,0.0,0.0,12.0,False,2026-05-25,11477.91,0.114804,trailing_stop
,,,,2026-05-08,2376,技嘉,317.0,317.0,0.0,315,315.0,315.0,99855.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,336.5,0.061514,,293.43,0.1,OPEN,336.5,105997.5,6142.5,0.061514,12.0,False,,,,
,,,,2026-05-08,3416,融程電,175.5,175.5,0.001,569,569.0,0.0,0.0,,0.0,0.0,0.0,162.837,163.0,0.163,92.75,36.97,36.97,277.96,277.96,407.68,-7520.18,-0.075308,-7520.18,False,False,175.5,0.0,,163.0,0.1,CLOSED,163.0,0.0,0.0,0.0,5.0,True,2026-05-15,-7520.18,-0.075308,stop_loss
,,,,2026-05-08,00891,中信關鍵半導體,34.19,34.19,0.001,2924,2924.0,0.0,0.0,,0.0,0.0,0.0,31.2687,31.3,0.0313,91.52,36.48,36.48,91.43,91.43,219.43,-8669.79,-0.086723,-8669.79,False,False,35.19,0.029248,,32.27,0.1,CLOSED,31.3,0.0,0.0,0.0,8.0,True,2026-05-19,-8669.79,-0.086723,stop_loss
,,,,2026-05-08,6206,飛捷,119.0,119.0,0.001,840,840.0,210.0,24990.0,,0.0,0.0,0.0,136.863,137.0,0.137,87.57,11.47,95.18,86.22,262.44,445.19,12154.81,0.121597,0.0,True,True,144.0,0.210084,132.48,110.93,0.1,OPEN,144.0,30240.0,5250.0,0.210084,12.0,False,2026-05-21,12154.81,0.121597,take_profit_2
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,00947,台新臺灣IC設計,38.6987,38.66,0.001,2584,2584.0,0.0,0.0,0.0387,100.0,142.5,142.5,32.947,32.98,0.033,85.27,33.97,33.97,85.14,85.14,446.88,-15124.0,-0.151029,-15124.0,False,False,38.6987,0.0,,35.19,0.1,CLOSED,32.98,0.0,0.0,0.0,5.0,True,2026-05-19,-15124.0,-0.151029,stop_loss
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,2855,統一證,43.7437,43.7,0.001,2286,2286.0,0.0,0.0,0.0437,99.9,142.5,142.5,40.1099,40.15,0.0401,91.67,36.58,36.58,275.07,275.07,645.72,-8761.02,-0.087487,-8761.02,False,False,43.7437,0.0,,40.86,0.1,CLOSED,40.15,0.0,0.0,0.0,2.0,True,2026-05-14,-8761.02,-0.087487,STOP_LOSS
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,8213,志超,43.8438,43.8,0.001,2280,2280.0,0.0,0.0,0.0438,99.86,142.45,142.45,38.6613,38.7,0.0387,88.24,35.17,35.17,264.44,264.44,630.16,-12258.16,-0.122451,-12258.16,False,False,43.8438,0.0,,39.11,0.1,CLOSED,38.7,0.0,0.0,0.0,1.0,True,2026-05-13,-12258.16,-0.122451,STOP_LOSS
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,5258,虹堡,54.5545,54.5,0.001,1833,1833.0,917.0,50026.48,0.0545,99.9,142.5,142.5,59.94,60.0,0.06,54.96,21.91,21.91,164.72,164.72,483.99,4675.28,0.046687,0.0,True,False,60.0,0.099818,55.2,50.35,0.1,OPEN,58.3,53461.1,3434.62,0.068656,9.0,False,2026-05-19,4675.28,0.046687,take_profit_1
